drug_name,medical_condition,side_effects,generic_name,drug_classes,activity,rx_otc,pregnancy_category,related_drugs
Tussin Expectorant,Bronchitis,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Common side effects of Tussin Expectorant may include: nausea ; or vomiting .",guaifenesin,Expectorants,1%,RX/OTC,C,amoxicillin|albuterol|doxycycline|ciprofloxacin|azithromycin|Augmentin|benzonatate|ceftriaxone|Benadryl|diphenhydramine
Xpect,Bronchitis,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Common side effects of Xpect may include: nausea ; or vomiting .",guaifenesin,Expectorants,1%,RX/OTC,C,
Zinacef,Bronchitis,"Along with its needed effects, a medicine may cause some unwanted effects. Although not all of these side effects may occur, if they do occur they may need medical attention. Check with your doctor immediately if any of the following side effects occur: More common Black, tarry stools chest pain chills cough fever painful or difficult urination shortness of breath sore throat sores, ulcers, or white spots on lips or in mouth swollen glands unusual bleeding or bruising unusual tiredness or weakness Less common Abdominal or stomach cramps abdominal or stomach tenderness or pain bloating bluish color or changes in skin color diarrhea, watery and severe, which may also be bloody difficulty in breathing or swallowing, wheezing, shortness of breath fast heartbeat fever hives or welts increased thirst muscle spasm or jerking of all extremities nausea or vomiting pain skin itching, rash, or redness sudden loss of consciousness swelling of face, throat, or tongue swelling of foot or leg tenderness unusual weight loss Rare Blistering, peeling, loosening of skin bloody or cloudy urine dizziness fast heartbeat greatly decreased frequency of urination or amount of urine hearing loss, mild to moderate joint or muscle pain puffiness or swelling of the eyelids or around the eyes, face, lips or tongue red or irritated eyes redness, tenderness, itching, burning, or peeling of skin red skin lesions, often with a purple center sore throat tightness in chest Some side effects may occur that usually do not need medical attention. These side effects may go away during treatment as your body adjusts to the medicine. Also, your health care professional may be able to tell you about ways to prevent or reduce some of these side effects. Check with your health care professional if any of the following side effects continue or are bothersome or if you have any questions about them: More common Gas loss of appetite Other side effects not listed may also occur in some patients. If you notice any other effects, check with your healthcare professional. Call your doctor for medical advice about side effects. You may report side effects to the FDA at 1-800-FDA-1088. Zinacef side effects",cefuroxime,Second generation cephalosporins,1%,RX,B,amoxicillin|prednisone|doxycycline|ciprofloxacin|azithromycin|cephalexin|metronidazole|clindamycin|Augmentin|ceftriaxone
Avelox I.V.,Bronchitis,"Along with its needed effects, a medicine may cause some unwanted effects. Although not all of these side effects may occur, if they do occur they may need medical attention. Check with your doctor or nurse immediately if any of the following side effects occur: Rare Black, tarry stools bleeding gums bleeding, blistering, burning, coldness, discoloration of the skin, feeling of pressure, hives, infection, inflammation, itching, lumps, numbness, pain, rash, redness, scarring, soreness, stinging, swelling, tenderness, tingling, ulceration, or warmth at the injection site blisters bloating or swelling of the face, arms, hands, lower legs, or feet blood in the urine or stools blurred vision bone pain burning, crawling, itching, numbness, prickling, ""pins and needles"", or tingling feelings chest pain chills clay-colored stools cough crying dark urine deep or fast breathing with dizziness diarrhea, watery and severe, which may also be bloody difficult or labored breathing difficulty with moving difficulty with swallowing discouragement dizziness, faintness, or lightheadedness when getting up suddenly from a lying or sitting position dry mouth excessive muscle tone fainting fast, irregular, pounding, or racing heartbeat or pulse feeling of unreality feeling of warmth or heat feeling sad or empty fever flushed, dry skin flushing or redness of the skin, especially on the face and neck fruit-like breath odor headache increased hunger increased sensitivity of the skin to sunlight increased thirst increased urination irregular heartbeat, recurrent irritability joint pain, stiffness, or swelling lack of coordination loss of appetite loss of interest or pleasure lower back, side, or stomach pain mood or mental changes muscle cramps, pains, stiffness, tension, or tightness nausea nervousness noisy breathing numbness of the feet, hands, and around the mouth pain in the pelvis pain, warmth, or burning in the fingers, toes, and legs painful or difficult urination painful, swollen joints pale skin pinpoint red spots on the skin pounding in the ears problems with speech or speaking problems with vision or hearing quick to react or overreact emotionally rapid weight gain rapidly changing moods redness or other discoloration of the skin restlessness seeing, hearing, or feeling things that are not there seizures sensation of the skin burning sense of detachment from self or body severe sunburn shakiness in the legs, arms, hands, or feet skin rash or itching sore throat sores, ulcers, or white spots on the lips or in the mouth stomach cramps or tenderness sweating swelling of the feet or lower legs swelling or puffiness of the face swollen glands thick, white vaginal discharge with no odor or with a mild odor tightness in the chest tingling of the hands or feet trouble concentrating trouble sleeping troubled breathing with exertion unexplained weight loss unpleasant breath odor unusual bleeding or bruising unusual tiredness or weakness unusual weight gain or loss vomiting vomiting of blood white patches in the mouth or on the tongue yellow eyes or skin Incidence not known Blistering, peeling, or loosening of the skin burning, numbness, tingling, or painful sensations change in the ability to see colors, especially blue or yellow confusion as to time, place, or person difficulty with chewing or talking double vision drooping eyelids eye pain general feeling of tiredness or weakness hives hoarseness irregular or slow heart rate large, hive-like swelling on the face, eyelids, lips, tongue, throat, hands, legs, feet, or genitals light-colored stools loss of consciousness muscle weakness no blood pressure or pulse puffiness or swelling of the eyelids or around the eyes, face, lips or tongue red, irritated eyes red skin lesions, often with a purple center severe headache severe tiredness stomach pain, continuing stopping of the heart unsteadiness or awkwardness unusual excitement, nervousness, or restlessness weakness in the arms, hands, legs, or feet Some side effects may occur that usually do not need medical attention. These side effects may go away during treatment as your body adjusts to the medicine. Also, your health care professional may be able to tell you about ways to prevent or reduce some of these side effects. Check with your health care professional if any of the following side effects continue or are bothersome or if you have any questions about them: Rare Bad, unusual, or unpleasant (after) taste belching burning feeling in the chest or stomach change in sense of smell change in taste changes in vision continuing ringing or buzzing or other unexplained noise in the ears difficulty having a bowel movement excess air or gas in the stomach or bowels fear or nervousness feeling of constant movement of self or surroundings full feeling general feeling of discomfort or illness hearing loss heartburn impaired vision indigestion itching of the vagina or genital area lack or loss of strength loss of memory pain during sexual intercourse passing of gas problems with memory redness, swelling, or soreness of the tongue sensation of spinning sleepiness or unusual drowsiness sore mouth or tongue stomach discomfort, upset, or pain Other side effects not listed may also occur in some patients. If you notice any other effects, check with your healthcare professional. Call your doctor for medical advice about side effects. You may report side effects to the FDA at 1-800-FDA-1088. Avelox I.V. side effects",moxifloxacin,Quinolones,0%,RX,C,amoxicillin|prednisone|doxycycline|ciprofloxacin|azithromycin|cephalexin|metronidazole|clindamycin|Augmentin|ceftriaxone
cefaclor,Bronchitis,"hives , numbness or tingling; weakness, feeling light-headed; difficult breathing; swelling of your face, lips, tongue, or throat. Cefaclor may cause serious side effects. Call your doctor at once if you have: severe stomach pain, diarrhea that is watery or bloody; fever, swollen glands, rash or itching, joint pain, or general ill feeling; easy bruising or bleeding, severe tingling, numbness, pain, muscle weakness; seizure (convulsions); jaundice (yellowing of the skin or eyes); or severe skin reaction--fever, sore throat , swelling in your face or tongue, burning in your eyes, skin pain followed by a red or purple skin rash that spreads (especially in the face or upper body) and causes blistering and peeling. Common side effects of cefaclor may include: diarrhea; or vaginal itching or discharge.",cefaclor,Second generation cephalosporins,0%,RX,B,
cilastatin / imipenem,Bronchitis,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Imipenem and cilastatin may cause serious side effects. Call your doctor at once if you have: severe stomach pain, diarrhea that is watery or bloody; upper stomach pain, loss of appetite; jaundice (yellowing of the skin or eyes); a seizure (convulsions); fever; or a light-headed feeling, like you might pass out. Common side effects of imipenem and cilastatin may include: pain, swelling, redness, bruising, or hardening where the medicine was injected; dizziness , drowsiness; nausea , vomiting , diarrhea; or itching, rash.",imipenem and cilastatin,Carbapenems,0%,RX,C,
Dycill,Bronchitis,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Dycill may cause serious side effects. Call your doctor at once if you have: severe stomach pain, diarrhea that is watery or bloody; nausea, vomiting; little or no urination; unusual bleeding or bruising; a seizure (convulsions); mouth pain or irritation, black tongue, sore throat ; or fever, swollen glands, rash or itching, joint pain, or general ill feeling. Common side effects of Dycill may include: heartburn, nausea, vomiting, diarrhea; blisters or ulcers in your mouth, red or swollen gums, trouble swallowing; or abnormal liver function tests .",dicloxacillin,Penicillinase resistant penicillins,0%,RX,B,amoxicillin|prednisone|doxycycline|ciprofloxacin|azithromycin|cephalexin|metronidazole|clindamycin|Augmentin|ceftriaxone
Dynapen,Bronchitis,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Dynapen may cause serious side effects. Call your doctor at once if you have: severe stomach pain, diarrhea that is watery or bloody; nausea, vomiting; little or no urination; unusual bleeding or bruising; a seizure (convulsions); mouth pain or irritation, black tongue, sore throat ; or fever, swollen glands, rash or itching, joint pain, or general ill feeling. Common side effects of Dynapen may include: heartburn, nausea, vomiting, diarrhea; blisters or ulcers in your mouth, red or swollen gums, trouble swallowing; or abnormal liver function tests .",dicloxacillin,Penicillinase resistant penicillins,0%,RX,B,amoxicillin|prednisone|doxycycline|ciprofloxacin|azithromycin|cephalexin|metronidazole|clindamycin|Augmentin|ceftriaxone
Factive,Bronchitis,"low blood sugar--headache, hunger, sweating, irritability, dizziness , nausea , fast heart rate , or feeling anxious or shaky; nerve symptoms in your hands, arms, legs, or feet--numbness, weakness, tingling, burning pain; serious mood or behavior changes-- nervousness , confusion, agitation, paranoia, hallucinations, memory problems, trouble concentrating, thoughts of suicide; or signs of tendon rupture--sudden pain, swelling, bruising, tenderness, stiffness, movement problems, or a snapping or popping sound in any of your joints (rest the joint until you receive medical care or instructions). In rare cases, Factive may cause damage to your aorta, the main blood artery of the body. This could lead to dangerous bleeding or death. Get emergency medical help if you have severe and constant pain in your chest, stomach, or back. Also, stop using Factive and call your doctor at once if you have: severe stomach pain, diarrhea that is watery or bloody; fast or pounding heartbeats, fluttering in your chest, shortness of breath, and sudden dizziness (like you might pass out); the first sign of any skin rash, no matter how mild; muscle weakness, breathing problems; jaundice (yellowing of the skin or eyes); a seizure (convulsions); or increased pressure inside the skull--severe headaches, ringing in your ears, vision problems, pain behind your eyes. Common side effects of Factive may include: nausea, vomiting , stomach pain, diarrhea; headache; dizziness; or rash.",gemifloxacin,Quinolones,0%,RX,C,
Primaxin IV,Bronchitis,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Primaxin IV may cause serious side effects. Call your doctor at once if you have: severe stomach pain, diarrhea that is watery or bloody; upper stomach pain, loss of appetite; jaundice (yellowing of the skin or eyes); a seizure (convulsions); fever; or a light-headed feeling, like you might pass out. Common side effects of Primaxin IV may include: pain, swelling, redness, bruising, or hardening where the medicine was injected; dizziness , drowsiness; nausea , vomiting , diarrhea; or itching, rash.",imipenem and cilastatin,Carbapenems,0%,RX,C,
carboplatin,Cancer,"Carboplatin may cause unwanted effects, particularly because carboplatin interferes with the growth of normal cells as well as cancer cells. For example, the occurrence of another cancer (secondary malignancy) has been reported in patients receiving cancer chemotherapy with multiple drugs. It is not always possible to tell whether such effects are caused by carboplatin, another drug you may be taking, or your illness. Because some of these effects may be serious, you will need close medical supervision during treatment with carboplatin. The most serious side effects of carboplatin are: bleeding and reduced blood cells, including reduced red blood cells (anemia) and platelets (needed for proper blood clotting), which may be severe enough to require blood transfusion. You should tell your doctor right away if you notice any unusual bruising or bleeding, including black tarry stools or blood in the urine. infection – carboplatin can temporarily lower the number of white blood cells in your blood, increasing the risk of infection; life-threatening allergic reaction – during and after treatment the doctor or nurse will observe you carefully for signs of allergic reaction; kidney and liver problems; loss of hearing or ringing in the ears; Contact your doctor right away if you experience any of these effects, or notice effects that worry you or are troublesome. Of the less serious side effects associated with carboplatin treatment, the most common are nausea, vomiting, diarrhea, loss of appetite, hair loss and numbness, tingling, burning, or pain in the hands and feet. Carboplatin side effects",carboplatin Brand name: Paraplatin,Alkylating agents,100%,RX,D,
Leukeran,Cancer,"a seizure; an unusual mass or lump; severe vomiting or diarrhea ; new or worsening cough; bone marrow suppression-- dizziness , pale lips or fingernail beds, fast heart rate , getting easily tired or short of breath; liver problems--loss of appetite, stomach pain (upper right side), dark urine, clay-colored stools, jaundice (yellowing of the skin or eyes); or low blood cell counts--fever, chills, tiredness, mouth sores, skin sores, easy bruising, unusual bleeding, pale skin, cold hands and feet, feeling light-headed or short of breath. Common side effects of Leukeran may include: bone marrow suppression; low blood cell counts; missed menstrual periods; nausea , vomiting, diarrhea; or sores or white patches in or around your mouth.",chlorambucil,Alkylating agents,43%,RX,D,
chlorambucil,Cancer,"What are the serious (bad) side effects of chlorambucil? Allergic Reactions: You should immediately get emergency medical help if you have signs of: allergic reaction (difficulty breathing, swelling in your face or throat, hives ) or a severe skin reaction (fever, sore throat , burning eyes, skin pain, red or purple skin rash with blistering and peeling). Other serious (bad) side effects: You should call your doctor at once if you have: a seizure any unusual lump or mass, severe diarrhea or vomiting, a cough that is new or worsening, signs of bone marrow suppression eg. dizziness , feeling tired or short of breath, pale lips or fingernail beds, fast heart rate , signs of liver problems eg. low appetite, pain in the upper right side of stomach, dark urine, clay-colored stools, yellowing of the skin or eyes, or signs of low blood cell counts eg. high body temperature, chills, tiredness, mouth sores, skin sores, easy bruising, unusual bleeding, pale skin, cold hands and feet, feeling light-headed or short of breath. What are the common side effects of chlorambucil? nausea, vomiting or diarrhea, white patches or sores in or around your mouth, bone marrow suppression, low blood cell counts, missed menstrual periods in women.",Chlorambucil Brand name: Leukeran,Alkylating agents,36%,RX,D,
fluorouracil,Cancer,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Fluorouracil may cause serious side effects. Call your doctor at once if you have: fever (take your temperature each day while receiving fluorouracil); severe or ongoing diarrhea ; vision problems; confusion, problems with balance or muscle movement; painful mouth sores, red or swollen gums, trouble swallowing, talking, or eating; bone marrow suppression-- dizziness , pale lips or fingernail beds, fast heart rate , getting easily tired or short of breath; ""hand and foot syndrome""--pain, blisters, bleeding, or severe rash on the palms of your hands or the soles of your feet; heart problems--chest pain or pressure, pain spreading to your jaw or shoulder, irregular heartbeats, nausea , sweating, feeling dizzy or short of breath. Your cancer treatments may be delayed or permanently discontinued if you have certain side effects. Common side effects of fluorouracil may include: diarrhea; mouth sores; heart problems; or bone marrow suppression.",fluorouracil,Antimetabolites,24%,RX,D,Yervoy|Kisqali|Lynparza|estradiol|tamoxifen|Premarin|testosterone|Keytruda|Arimidex|fluorouracil
doxorubicin,Cancer,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Some side effects may occur during the injection. Tell your caregiver right away if you feel dizzy, nauseated, light-headed, sweaty, or have a headache , chest tightness, back pain , trouble breathing, or swelling in your face. Doxorubicin may cause serious side effects. Call your doctor at once if you have: pain, blisters, or skin sores where the injection was given; missed menstrual periods; easy bruising, unusual bleeding (nose, mouth, vagina, or rectum), purple or red pinpoint spots under your skin; low white blood cell counts--fever, swollen gums, painful mouth sores, pain when swallowing, skin sores, cold or flu symptoms, cough, trouble breathing; or signs of heart problems--fast heartbeats, shortness of breath (even with mild exertion), feeling very weak or tired, swelling in your ankles or feet. Doxorubicin may cause your urine to turn a reddish-orange color. This side effect is usually not harmful. Common side effects of doxorubicin may include: nausea, vomiting; or hair loss .",doxorubicin,Antibiotics / antineoplastics,22%,RX,D,Kisqali|Lynparza|prednisone|methotrexate|dexamethasone|Keytruda|paclitaxel|Arimidex|rituximab|fluorouracil
etoposide,Cancer,"sudden chest pain or discomfort, wheezing, dry cough or hack; easy bruising, unusual bleeding (nose, mouth, vagina, or rectum), purple or red pinpoint spots under your skin; vision problems; seizure (convulsions); liver problems--loss of appetite, stomach pain (upper right side), tiredness, itching, dark urine, clay-colored stools, jaundice (yellowing of the skin or eyes); low red blood cells (anemia)--pale skin, unusual tiredness, feeling light-headed or short of breath, cold hands and feet; or low white blood cell counts--fever, mouth sores, skin sores, sore throat, cough, trouble breathing. Common side effects of etoposide may include: sores or white patches in or around your mouth, trouble swallowing or talking, dry mouth, bad breath, altered sense of taste; nausea , vomiting ; or temporary hair loss .",etoposide,Mitotic inhibitors,18%,RX,D,methotrexate|Keytruda|paclitaxel|fluorouracil|pembrolizumab|cyclophosphamide|cisplatin|carboplatin|doxorubicin|Avastin
cyclophosphamide,Cancer,"new worsening cough, shortness of breath, trouble breathing while lying down; a light-headed feeling, like you might pass out; pink or red urine, pain or burning when you urinate; bloody or tarry stools, coughing up blood or vomit that looks like coffee grounds; any wound that will not heal; heart problems--swelling, rapid weight gain, pounding heartbeats or fluttering in your chest; liver problems--loss of appetite, stomach pain (upper right side), bloating , dark urine, jaundice (yellowing of the skin or eyes); low sodium level-- headache , confusion, slurred speech, severe weakness, vomiting , loss of coordination, feeling unsteady; or low blood cell counts--fever, chills, tiredness, blisters or ulcers in your mouth, skin sores, easy bruising, unusual bleeding, pale skin, cold hands and feet, feeling light-headed or short of breath. Common side effects of cyclophosphamide may include: fever, low blood cell counts; mouth sores; nausea , vomiting, diarrhea ; hair loss ; or missed menstrual periods.",cyclophosphamide,Alkylating agents,17%,RX,D,Kisqali|Lynparza|prednisone|methotrexate|triamcinolone|prednisolone|budesonide|Keytruda|paclitaxel|mycophenolate mofetil
vincristine,Cancer,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Vincristine may cause serious side effects. Call your doctor at once if you have: severe constipation, severe bloating or stomach pain, bloody or tarry stools; swelling, rapid weight gain; urination problems; wheezing, trouble breathing; chest pain or pressure, pain spreading to your jaw or shoulder; problems with vision, hearing, speech, balance, or daily activities; a seizure; mouth pain or ulcers; numbness , tingling, burning pain; or low blood cell counts--fever, chills, sore throat , body aches, easy bruising, unusual bleeding, pale skin, cold hands and feet, feeling light-headed or short of breath. Common side effects of vincristine may include: hair loss ; decreased weight with loss of muscle tissue; nausea , vomiting , diarrhea , weight loss ; or rash.",vincristine,Mitotic inhibitors,13%,RX,D,
Cosmegen,Cancer,"swelling or tenderness in your stomach (upper right side), rapid weight gain; swelling in your arms or legs; dark urine, jaundice (yellowing of the skin or eyes); redness of your skin or the inside of your mouth and throat (if you are also receiving radiation treatment); sores or white patches in or around your mouth, trouble swallowing or talking, dry mouth, bad breath, altered sense of taste; blisters, ulcers, or other skin changes where an injection was given; or low blood cell counts--fever, chills, tiredness, mouth sores, skin sores, easy bruising, unusual bleeding, pale skin, cold hands and feet, feeling light-headed or short of breath. Common side effects of Cosmegen may include: hair loss ; fever, infections, low blood cell counts; rash; trouble swallowing; nausea , vomiting ; or tiredness.",dactinomycin,Antibiotics / antineoplastics,10%,RX,D,aspirin|prednisone|ibuprofen|meloxicam|naproxen|methotrexate|Cymbalta|paclitaxel|fluorouracil|cyclophosphamide
Etopophos,Cancer,"pain, burning, irritation, or skin changes where the injection was given; severe nausea and vomiting ; easy bruising, unusual bleeding, purple or red spots under your skin; or low white blood cell counts--fever, mouth sores, skin sores, sore throat, cough, trouble breathing. Common side effects of Etopophos may include: nausea , vomiting ; constipation ; fever; trouble swallowing; or unusual or unpleasant taste in the mouth.",etoposide phosphate,Mitotic inhibitors,7%,RX,D,methotrexate|Keytruda|paclitaxel|fluorouracil|pembrolizumab|cyclophosphamide|cisplatin|carboplatin|doxorubicin|Avastin
Ifex,Cancer,"fever, chills, flu symptoms; mouth and throat ulcers; skin sores, pale skin, cold hands and feet; easy bruising, unusual bleeding; rapid heart rate, shallow breathing; or feeling light-headed or short of breath. Call your doctor at once if you have any of these side effects: confusion, unusual thoughts or behavior, hallucinations, seizure (convulsions); little or no urination, painful or difficult urination, blood in your urine; loss of bladder control; a seizure; muscle movements you cannot control; problems with your hearing or vision, ringing in your ears; sudden chest pain, wheezing, dry cough; dark urine, jaundice (yellowing of the skin or eyes); or a wound that will not heal. Common side effects of Ifex may include: nausea and vomiting ; confusion, vision problems, thinking problems; numbness , tingling, burning pain; infections; urination problems; or hair loss .",ifosfamide,Alkylating agents,7%,RX,D,
Toposar,Cancer,"low white blood cell counts--fever, mouth sores, skin sores, sore throat, cough, trouble breathing; easy bruising, unusual bleeding, purple or red spots under your skin; severe ongoing nausea or vomiting ; sudden chest pain, wheezing, dry cough, feeling short of breath; upper stomach pain, loss of appetite; vision problems; or a seizure (convulsions). Common side effects of Toposar may include: low white blood cell counts.",etoposide,Mitotic inhibitors,7%,RX,D,
vinblastine,Cancer,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Vinblastine may cause serious side effects. Call your doctor at once if you have: wheezing, trouble breathing; chest pain or pressure, pain spreading to your jaw or shoulder; severe constipation; ongoing nausea or vomiting ; numbness , tingling, burning pain; problems with vision, hearing, speech, balance, or daily activities; mouth pain or ulcers; or low blood cell counts--fever, chills, sore throat , body aches, easy bruising, unusual bleeding, pale skin, cold hands and feet, feeling light-headed or short of breath. Common side effects of vinblastine may include: low blood cell counts; jaw pain, tumor pain, bone pain; constipation; or temporary hair loss .",vinblastine,Mitotic inhibitors,7%,RX,D,Kisqali|Lynparza|prednisone|methotrexate|dexamethasone|Decadron|Keytruda|paclitaxel|Arimidex|fluorouracil
Hycamtin,Cancer,"hives ; difficulty breathing; swelling of your face, lips, tongue, or throat. Hycamtin may cause serious side effects. Call your doctor at once if you have: new or worsening cough, fever, trouble breathing; diarrhea with fever and stomach cramps; pain or burning when you urinate; signs of pneumonia --fever, chills, cough with mucus, chest pain, feeling short of breath; or low blood cell counts--fever, chills, flu-like symptoms, mouth sores, skin sores, pale skin, cold hands and feet, bruising or bleeding, feeling light-headed. Your cancer treatments may be delayed or permanently discontinued if you have certain side effects. Common side effects of Hycamtin may include: low blood cell counts; trouble breathing, pneumonia nausea, diarrhea, vomiting, stomach pain; loss of appetite; hair loss ; or feeling weak or tired.",topotecan,Miscellaneous antineoplastics,6%,RX,D,methotrexate|Keytruda|paclitaxel|fluorouracil|pembrolizumab|cyclophosphamide|cisplatin|carboplatin|doxorubicin|Avastin
ifosfamide,Cancer,"fever, chills, flu symptoms; mouth and throat ulcers; skin sores, pale skin, cold hands and feet; easy bruising, unusual bleeding; rapid heart rate, shallow breathing; or feeling light-headed or short of breath. Call your doctor at once if you have any of these side effects: confusion, unusual thoughts or behavior, hallucinations, seizure (convulsions); little or no urination, painful or difficult urination, blood in your urine; loss of bladder control; a seizure; muscle movements you cannot control; problems with your hearing or vision, ringing in your ears; sudden chest pain, wheezing, dry cough; dark urine, jaundice (yellowing of the skin or eyes); or a wound that will not heal. Common side effects of ifosfamide may include: nausea and vomiting ; confusion, vision problems, thinking problems; numbness , tingling, burning pain; infections; urination problems; or hair loss .",ifosfamide,Alkylating agents,6%,RX,D,Keytruda|fluorouracil|pembrolizumab|cyclophosphamide|cisplatin|carboplatin|doxorubicin|Avastin|vincristine|Adriamycin
dactinomycin,Cancer,"swelling or tenderness in your stomach (upper right side), rapid weight gain; swelling in your arms or legs; dark urine, jaundice (yellowing of the skin or eyes); redness of your skin or the inside of your mouth and throat (if you are also receiving radiation treatment); sores or white patches in or around your mouth, trouble swallowing or talking, dry mouth, bad breath, altered sense of taste; blisters, ulcers, or other skin changes where an injection was given; or low blood cell counts--fever, chills, tiredness, mouth sores, skin sores, easy bruising, unusual bleeding, pale skin, cold hands and feet, feeling light-headed or short of breath. Common side effects of dactinomycin may include: hair loss ; fever, infections, low blood cell counts; rash; trouble swallowing; nausea , vomiting ; or tiredness.",dactinomycin,Antibiotics / antineoplastics,5%,RX,D,aspirin|prednisone|ibuprofen|meloxicam|naproxen|methotrexate|Cymbalta|paclitaxel|fluorouracil|cyclophosphamide
fludarabine,Cancer,"agitation ; sudden chest pain, wheezing, dry cough, feeling short of breath; bloody or tarry stools, coughing up blood or vomit that looks like coffee grounds; damage to red blood cells--confusion, weakness, pale or yellowed skin, dark colored urine; low blood cell counts--fever, chills, tiredness, mouth sores, skin sores, easy bruising, unusual bleeding, pale skin, cold hands and feet, feeling light-headed or short of breath; or signs of tumor cell breakdown--tiredness, weakness, muscle cramps, lower back pain , nausea , vomiting , diarrhea , blood in your urine, fast or slow heart rate , tingling in your hands and feet or around your mouth. Common side effects of fludarabine may include: low blood cell counts; nausea, loss of appetite, vomiting, diarrhea; feeling weak or tired; mouth sores; or swelling in your hands or feet.",fludarabine,Antimetabolites,4%,RX,D,
Tepadina,Cancer,"hives ; wheezing, difficult breathing; swelling of your face, lips, tongue, or throat. Tepadina may cause serious side effects. Call your doctor at once if you have: sores or white patches in or around your mouth, trouble swallowing or talking, dry mouth, bad breath, altered sense of taste; confusion, hallucinations; headache , drowsiness, changes in behavior or personality; problems with memory, speech, or thought; a seizure; twitching muscles, overactive reflexes, problems with coordination or movement; blood in your urine; low blood cell counts--fever, chills, tiredness, mouth sores, skin sores, easy bruising, unusual bleeding, pale skin, cold hands and feet, feeling light-headed or short of breath; or liver problems--rapid weight gain, stomach pain and bloating , dark urine, jaundice (yellowing of the skin or eyes). Common side effects of Tepadina may include: low blood cell counts; signs of infection (fever, chills, sore throat , muscle aches); blood in your urine; mouth sores; or abnormal liver function tests .",thiotepa,Alkylating agents,4%,RX,D,
thiotepa,Cancer,"hives ; wheezing, difficult breathing; swelling of your face, lips, tongue, or throat. Thiotepa may cause serious side effects. Call your doctor at once if you have: sores or white patches in or around your mouth, trouble swallowing or talking, dry mouth, bad breath, altered sense of taste; confusion, hallucinations; headache , drowsiness, changes in behavior or personality; problems with memory, speech, or thought; a seizure; twitching muscles, overactive reflexes, problems with coordination or movement; blood in your urine; low blood cell counts--fever, chills, tiredness, mouth sores, skin sores, easy bruising, unusual bleeding, pale skin, cold hands and feet, feeling light-headed or short of breath; or liver problems--rapid weight gain, stomach pain and bloating , dark urine, jaundice (yellowing of the skin or eyes). Common side effects of thiotepa may include: low blood cell counts; signs of infection (fever, chills, sore throat , muscle aches); blood in your urine; mouth sores; or abnormal liver function tests .",thiotepa,Alkylating agents,4%,RX,D,Kisqali|Lynparza|prednisone|methotrexate|dexamethasone|paclitaxel|Arimidex|fluorouracil|cyclophosphamide|cisplatin
topotecan,Cancer,"hives ; difficulty breathing; swelling of your face, lips, tongue, or throat. Topotecan may cause serious side effects. Call your doctor at once if you have: new or worsening cough, fever, trouble breathing; diarrhea with fever and stomach cramps; pain or burning when you urinate; signs of pneumonia --fever, chills, cough with mucus, chest pain, feeling short of breath; or low blood cell counts--fever, chills, flu-like symptoms, mouth sores, skin sores, pale skin, cold hands and feet, bruising or bleeding, feeling light-headed. Your cancer treatments may be delayed or permanently discontinued if you have certain side effects. Common side effects of topotecan may include: low blood cell counts; trouble breathing, pneumonia nausea, diarrhea, vomiting, stomach pain; loss of appetite; hair loss ; or feeling weak or tired.",topotecan,Miscellaneous antineoplastics,4%,RX,D,
atorvastatin,Cholesterol,"hives; difficulty breathing; swelling of your face, lips, tongue, or throat. In rare cases, atorvastatin can cause a condition that results in the breakdown of skeletal muscle tissue, potentially leading to kidney failure. Call your doctor right away if you have unexplained muscle pain, tenderness, or weakness especially if you also have fever, unusual tiredness, and dark colored urine. Atorvastatin may cause serious side effects. Call your doctor at once if you have: muscle weakness in your hips, shoulders, neck, and back trouble lifting your arms, trouble climbing or standing; liver problems - upper stomach pain, weakness, tired feeling, loss of appetite, dark urine, jaundice (yellowing of the skin or eyes); or kidney problems - little or no urinating, swelling in your feet or ankles, feeling tired or short of breath. Common side effects of atorvastatin may include: joint pain; stuffy nose; sore throat; diarrhea; or pain in your arms or legs.",atorvastatin,Statins,100%,RX,X,
simvastatin,Cholesterol,"signs of a kidney problem - little or no urinating; painful or difficult urination; swelling in your feet or ankles; feeling tired or short of breath; or muscle weakness in your hips, shoulders, neck, and back; trouble lifting your arms, trouble climbing or standing; or liver problems - nausea, upper stomach pain, itching, tired feeling, loss of appetite, dark urine, clay-colored stools, jaundice (yellowing of the skin or eyes). Common simvastatin side effects may include: headache; constipation, nausea, stomach pain; or cold symptoms such as stuffy nose, sneezing, sore throat.",simvastatin,Statins,53%,RX,X,Praluent|Vascepa|atorvastatin|Ozempic|rosuvastatin|Lipitor|Xarelto|ezetimibe|Jardiance|fenofibrate
